tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
286;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,28;782530;667,0;25;14;14,5;20,9;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,22;15,53;6,56;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;70,68;7,48;50,37;0,7976;19302248000000,0;4393432,37
287;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,3;782405;707,8;25;14;11,5;19,9;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,32;15,54;6,51;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;69,99;7,48;45,86;0,8262;14479755555555,56;3805227,4
288;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,3;782196;697,8;25;14;11,2;19,3;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,39;15,53;6,46;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;69,49;7,48;42,21;0,8488;12220163555555,55;3495735,05
289;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,31;782372;668,8;25;14;11,3;18,9;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,37;15,6;6,5;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;69,8;7,48;50,37;0,7976;19302248000000,0;4393432,37
290;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,34;782693;662,1;25;14;11,2;19,3;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,4;15,58;6,49;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;69,48;7,48;45,86;0,8262;14479755555555,56;3805227,4
291;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,32;782356;1052,6;25;14;14,2;25,1;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,36;15,63;6,51;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;69,84;7,48;42,21;0,8488;12220163555555,55;3495735,05
292;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,35;782064;947,1;25;14;14,1;25,3;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,44;15,72;6,5;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;69,44;7,48;50,37;0,7976;19302248000000,0;4393432,37
293;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,39;782991;743,7;25;14;11,8;26,4;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,62;15,71;6,4;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;68,14;7,48;45,86;0,8262;14479755555555,56;3805227,4
294;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,37;781496;987,1;25;14;19,4;29,7;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,66;15,63;6,35;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;67,78;7,48;42,21;0,8488;12220163555555,55;3495735,05
295;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,38;782292;670,3;25;14;11,1;19,6;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,6;15,7;6,41;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;68,32;7,48;50,37;0,7976;19302248000000,0;4393432,37
296;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,42;782983;1324,9;25;14;14,6;372,3;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,66;15,71;6,39;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;67,84;7,48;45,86;0,8262;14479755555555,56;3805227,4
297;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,42;783032;700,7;25;14;11,3;20,6;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,65;15,73;6,4;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;67,94;7,48;42,21;0,8488;12220163555555,55;3495735,05
298;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,4;781969;880,6;25;14;8,8;15,5;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,58;15,74;6,44;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;68,43;7,48;50,37;0,7976;19302248000000,0;4393432,37
299;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,43;782602;670,5;25;14;10,6;19,1;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,63;15,75;6,42;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;68,07;7,48;45,86;0,8262;14479755555555,56;3805227,4
300;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,44;782994;1274,6;25;14;12,6;22,2;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,68;15,71;6,39;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;67,65;7,48;42,21;0,8488;12220163555555,55;3495735,05
301;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,47;782096;920,2;25;14;11,3;23,4;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,7;15,71;6,39;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;67,46;7,48;50,37;0,7976;19302248000000,0;4393432,37
302;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,48;782853;1028,4;25;14;14,0;24,9;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,86;15,64;6,28;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;66,24;7,48;45,86;0,8262;14479755555555,56;3805227,4
303;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,5;783010;829,7;25;14;11,9;45,4;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,99;15,57;6,2;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;65,24;7,48;42,21;0,8488;12220163555555,55;3495735,05
304;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,54;782301;1202,6;25;14;14,8;28,2;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;1,18;15,55;6,1;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;63,94;7,48;50,37;0,7976;19302248000000,0;4393432,37
305;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,55;782545;1256,4;25;14;13,8;26,4;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;1,17;15,58;6,11;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;63,99;7,48;45,86;0,8262;14479755555555,56;3805227,4
306;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,55;781765;696,8;25;14;11,9;21,0;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;1,13;15,56;6,13;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;64,19;7,48;42,21;0,8488;12220163555555,55;3495735,05
307;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,5;782043;670,8;25;14;11,2;19,8;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;1,01;15,54;6,18;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;65,08;7,48;50,37;0,7976;19302248000000,0;4393432,37
308;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,46;782603;1456,9;25;14;17,6;34,5;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,94;15,49;6,2;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;65,5;7,48;45,86;0,8262;14479755555555,56;3805227,4
309;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,44;781532;886,8;25;14;16,2;24,4;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,91;15,46;6,2;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;65,64;7,48;42,21;0,8488;12220163555555,55;3495735,05
310;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,44;782103;729,3;25;14;13,1;22,7;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,87;15,49;6,23;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;65,99;7,48;50,37;0,7976;19302248000000,0;4393432,37
311;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,39;782831;1091,7;25;14;16,0;30,3;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,77;15,46;6,27;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;66,73;7,48;45,86;0,8262;14479755555555,56;3805227,4
312;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,31;781967;1087,6;25;14;13,9;26,7;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,53;15,47;6,37;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;68,48;7,48;42,21;0,8488;12220163555555,55;3495735,05
313;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,32;782582;714,1;25;14;13,2;22,8;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,62;15,38;6,3;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;67,66;7,48;50,37;0,7976;19302248000000,0;4393432,37
314;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,36;782600;709,2;25;14;12,3;22,2;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,8;15,4;6,23;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;66,47;7,48;45,86;0,8262;14479755555555,56;3805227,4
315;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,33;782458;1007,7;25;14;12,4;26,7;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,67;15,32;6,27;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;67,22;7,48;42,21;0,8488;12220163555555,55;3495735,05
316;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,28;781534;1094,0;25;14;19,5;34,1;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,6;15,26;6,28;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;67,73;7,48;50,37;0,7976;19302248000000,0;4393432,37
317;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,21;782604;751,1;25;14;12,0;24,9;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,45;15,13;6,32;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;68,64;7,48;45,86;0,8262;14479755555555,56;3805227,4
318;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,2;783162;689,4;25;14;11,8;22,7;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,41;15,14;6,34;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;68,94;7,48;42,21;0,8488;12220163555555,55;3495735,05
319;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,23;782291;707,4;25;14;13,0;22,7;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,45;15,22;6,34;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;68,71;7,48;50,37;0,7976;19302248000000,0;4393432,37
320;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,22;781967;657,6;25;14;9,6;18,0;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,36;15,24;6,4;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;69,37;7,48;45,86;0,8262;14479755555555,56;3805227,4
321;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,25;783184;770,9;25;14;9,4;17,6;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,42;15,28;6,38;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;68,96;7,48;42,21;0,8488;12220163555555,55;3495735,05
322;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,28;782319;642,4;25;14;8,4;15,6;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,48;15,34;6,37;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;68,62;7,48;50,37;0,7976;19302248000000,0;4393432,37
323;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,23;782167;610,3;25;14;8,5;14,7;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,3;15,33;6,45;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;69,92;7,48;45,86;0,8262;14479755555555,56;3805227,4
324;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,21;782243;669,4;25;14;11,6;20,2;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,28;15,33;6,46;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;70,13;7,48;42,21;0,8488;12220163555555,55;3495735,05
325;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,22;782413;675,8;25;14;8,6;16,2;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,26;15,43;6,49;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;70,4;7,48;50,37;0,7976;19302248000000,0;4393432,37
326;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,25;782079;642,8;25;14;8,9;15,3;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,3;15,46;6,48;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;70,14;7,48;45,86;0,8262;14479755555555,56;3805227,4
327;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,25;782996;649,3;25;14;8,3;14,4;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,23;15,56;6,54;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;70,77;7,48;42,21;0,8488;12220163555555,55;3495735,05
328;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,18;782067;634,1;25;14;8,3;14,5;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,11;15,57;6,59;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;71,81;7,48;50,37;0,7976;19302248000000,0;4393432,37
329;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,16;782640;660,1;25;14;11,2;19,8;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,1;15,55;6,59;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;71,89;7,48;45,86;0,8262;14479755555555,56;3805227,4
330;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,13;782228;631,0;25;14;8,6;14,6;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,01;15,5;6,61;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;72,46;7,48;42,21;0,8488;12220163555555,55;3495735,05
331;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,16;782462;757,7;25;14;10,8;19,3;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,08;15,56;6,6;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;72,04;7,48;50,37;0,7976;19302248000000,0;4393432,37
332;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,21;782683;636,3;25;14;9,1;16,2;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,14;15,64;6,6;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;71,65;7,48;45,86;0,8262;14479755555555,56;3805227,4
333;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,26;782602;721,8;25;14;12,2;20,8;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,23;15,76;6,59;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;71,15;7,48;42,21;0,8488;12220163555555,55;3495735,05
334;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,28;781926;662,9;25;14;9,2;16,5;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,29;15,72;6,56;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;70,61;7,48;50,37;0,7976;19302248000000,0;4393432,37
335;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,2;782617;683,0;25;14;8,7;15,5;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,07;15,7;6,65;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;72,26;7,48;45,86;0,8262;14479755555555,56;3805227,4
336;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,16;781768;635,7;25;14;8,6;14,4;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;-0,1;15,72;6,73;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;14,02;7,48;42,21;0,8488;12220163555555,55;3495735,05
337;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,22;782361;676,7;25;14;11,3;19,8;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;-0,03;15,83;6,74;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;14,34;7,48;50,37;0,7976;19302248000000,0;4393432,37
338;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,16;782814;656,0;25;14;8,5;15,4;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;-0,11;15,67;6,73;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;13,61;7,48;45,86;0,8262;14479755555555,56;3805227,4
339;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,2;782804;655,7;25;14;8,4;15,4;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,04;15,65;6,65;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;72,3;7,48;42,21;0,8488;12220163555555,55;3495735,05
340;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,22;781998;649,9;25;14;8,5;15,3;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,02;15,66;6,67;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;72,41;7,48;50,37;0,7976;19302248000000,0;4393432,37
341;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,22;782549;1100,4;25;14;15,2;27,0;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,07;15,63;6,64;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;72,03;7,48;45,86;0,8262;14479755555555,56;3805227,4
342;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,26;782012;1054,3;25;14;19,2;23,0;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,14;15,67;6,62;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;71,5;7,48;42,21;0,8488;12220163555555,55;3495735,05
343;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,26;782096;650,9;25;14;9,3;16,6;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,12;15,6;6,62;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;71,52;7,48;50,37;0,7976;19302248000000,0;4393432,37
344;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,26;783153;668,4;25;14;10,7;19,6;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,14;15,58;6,61;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;71,32;7,48;45,86;0,8262;14479755555555,56;3805227,4
345;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,13;782968;683,2;25;14;11,3;19,8;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;-0,1;15,47;6,68;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;12,58;7,48;42,21;0,8488;12220163555555,55;3495735,05
346;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,2;782578;683,4;25;14;10,7;20,1;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;-0,0;15,53;6,66;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;12,53;7,48;50,37;0,7976;19302248000000,0;4393432,37
347;3;3;50;16,67;248,9;24890;24890;24890,0;8,0;9,32;782805;683,1;25;14;11,4;19,3;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8296,67;3805,23;4,0;11,0;8,0;3,0;0,27;15,52;6,55;100,0;0;0;2,489;0,8297;1,292;45,86;36,8;70,22;7,48;45,86;0,8262;14479755555555,56;3805227,4
348;3;3;50;16,67;248,44;24844;24844;24844,0;8,0;9,3;781955;711,4;25;14;12,1;22,0;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11400,0;8281,33;3495,74;4,0;11,0;8,0;3,0;0,23;15,49;6,56;100,0;0;0;2,4844;0,8281;1,14;42,21;36,8;70,48;7,48;42,21;0,8488;12220163555555,55;3495735,05
349;3;3;50;16,67;261,66;26166;26166;26166,0;8,0;9,35;781416;726,1;25;14;13,4;22,5;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;8722,0;4393,43;4,0;11,0;8,0;3,0;0,24;15,58;6,59;100,0;0;0;2,6166;0,8722;1,368;50,37;36,8;70,44;7,48;50,37;0,7976;19302248000000,0;4393432,37
350;3;3;50;16,67;263,3;26330;26330;26330,0;8,33;9,34;782336;686,3;25;12;9,8;17,6;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8776,67;3874,4;4,0;11,0;8,0;3,0;0,2;15,49;6,59;100,0;0;0;2,633;0,8777;1,292;44,14;37,09;70,58;7,48;44,14;0,8369;15010955555555,55;3874397,44
351;3;3;50;16,67;265,72;26572;26572;26572,0;8,33;9,32;782087;657,4;25;12;8,8;16,2;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11772,0;8857,33;3861,9;4,0;11,0;8,0;3,0;0,09;15,51;6,65;100,0;0;0;2,6572;0,8857;1,1772;43,6;37,09;71,41;7,48;43,6;0,8403;14914307555555,55;3861904,65
352;3;3;50;16,67;277,98;27798;27798;27798,0;8,33;9,33;782044;965,7;25;12;15,8;27,9;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;9266,0;4552,51;4,0;11,0;8,0;3,0;0,21;15,48;6,58;100,0;0;0;2,7798;0,9266;1,368;49,13;37,09;70,51;7,48;49,13;0,8055;20725352000000,0;4552510,52
353;3;3;50;16,67;263,3;26330;26330;26330,0;8,33;9,44;782463;687,2;25;12;11,9;20,6;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8776,67;3874,4;4,0;11,0;8,0;3,0;0,4;15,53;6,52;100,0;0;0;2,633;0,8777;1,292;44,14;37,09;69,04;7,48;44,14;0,8369;15010955555555,55;3874397,44
354;3;3;50;16,67;265,72;26572;26572;26572,0;8,33;9,41;782364;662,3;25;12;9,5;15,8;100,0;3;0;2,0;100,0;1;3;0,82;3400,0;11772,0;8857,33;3861,9;4,0;11,0;8,0;3,0;0,45;15,45;6,46;100,0;0;0;2,6572;0,8857;1,1772;43,6;37,09;68,68;7,48;43,6;0,8403;14914307555555,55;3861904,65
355;3;3;50;16,67;277,98;27798;27798;27798,0;8,33;9,45;782229;711,6;25;12;11,6;20,9;100,0;3;0;2,0;100,0;1;3;0,82;3000,0;13680,0;9266,0;4552,51;4,0;11,0;8,0;3,0;0,53;15,48;6,43;100,0;0;0;2,7798;0,9266;1,368;49,13;37,09;68,1;7,48;49,13;0,8055;20725352000000,0;4552510,52
356;3;3;50;16,67;263,3;26330;26330;26330,0;8,33;9,45;782778;1114,7;25;12;11,6;21,2;100,0;3;0;2,0;100,0;1;3;0,82;3600,0;12920,0;8776,67;3874,4;4,0;11,0;8,0;3,0;0,45;15,54;6,5;100,0;0;0;2,633;0,8777;1,292;44,14;37,09;68,74;7,48;44,14;0,8369;15010955555555,55;3874397,44
