tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
18;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,91;190545;646,4;25;14;12,7;22,4;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,26;14,96;7,37;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;15,12;7,48;51,93;0,7876;16665656000000,0;4082359,12
19;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,91;201762;450,4;25;14;10,1;17,6;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,35;14,99;7,43;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,97;7,48;58,42;0,7455;23810328000000,0;4879582,77
20;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,93;206741;417,2;25;14;8,6;14,6;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,29;15,01;7,4;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;15,12;7,48;55,57;0,764;19044667555555,56;4364019,66
21;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,88;219139;464,7;25;14;10,7;19,3;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,43;15,0;7,46;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;15,01;7,48;51,93;0,7876;16665656000000,0;4082359,12
22;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,89;225658;432,2;25;14;8,4;14,8;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,4;15,0;7,45;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;15,01;7,48;58,42;0,7455;23810328000000,0;4879582,77
23;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,95;244599;417,8;25;14;7,7;13,7;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,34;15,06;7,45;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,97;7,48;55,57;0,764;19044667555555,56;4364019,66
24;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,94;249154;467,6;25;14;10,2;19,3;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,36;15,03;7,45;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,9;7,48;51,93;0,7876;16665656000000,0;4082359,12
25;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;7,97;260287;583,5;25;14;10,4;19,4;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,27;14,99;7,4;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,57;7,48;58,42;0,7455;23810328000000,0;4879582,77
26;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;7,93;271565;548,7;25;14;11,4;19,7;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,43;15,11;7,5;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;15,29;7,48;55,57;0,764;19044667555555,56;4364019,66
27;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;7,96;278896;455,8;25;14;10,2;18,8;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,39;15,07;7,49;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,68;7,48;51,93;0,7876;16665656000000,0;4082359,12
