TTI,UE_ID,Num_RBs,RBs,Num_CCE,Tx_Bits,Buffer_Size,Wideband CQI,Subband CQI,SINR
10,3,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",4,7688,0,7,"[8, 5, 4, 4, 5, 9, 9, 2, 10, 7, 9, 8, 8, 11, 8, 8, 11]",7.7952
11,1,6,"[3, 4, 5, 9, 10, 11]",2,4744,0,11,"[11, 14, 13, 12, 12, 12, 8, 11, 10, 12, 10, 12, 11, 9, 13, 13, 10]",16.4135
11,2,0,0,0,0,0,3,"[2, 1, 4, 3, 4, 3, 4, 4, 4, 4, 5, 4, 2, 3, 5, 4, 3]",-0.7291
11,3,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",4,17472,10024,7,"[8, 5, 4, 3, 5, 8, 9, 2, 10, 7, 9, 8, 8, 11, 8, 8, 11]",7.5869
12,1,0,0,0,0,0,11,"[11, 14, 13, 12, 12, 12, 7, 11, 10, 12, 9, 12, 11, 9, 13, 13, 10]",16.0992
12,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,8000,2,"[2, 1, 2, 1, 3, 1, 3, 2, 2, 3, 4, 3, 1, 3, 5, 3, 2]",-3.3545
12,3,21,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41]",4,12360,0,7,"[8, 5, 3, 2, 4, 8, 9, 3, 10, 7, 9, 8, 8, 11, 9, 8, 11]",7.456
13,1,6,"[3, 4, 5, 12, 13, 14]",2,4480,0,11,"[11, 14, 13, 12, 12, 12, 5, 11, 10, 12, 9, 12, 11, 9, 13, 13, 10]",15.7187
13,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,6680,1,"[2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 3, 5, 2, 2]",-6.4783
13,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,5088,7,"[8, 5, 3, 3, 4, 8, 10, 4, 10, 8, 9, 8, 7, 11, 9, 8, 11]",7.5794
