TTI,UE_ID,Num_RBs,RBs,Num_CCE,Tx_Bits,Buffer_Size,Wideband CQI,Subband CQI,SINR
243,1,9,"[6, 7, 8, 15, 16, 17, 24, 25, 26]",1,7056,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.5047
243,2,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",8,6048,4672,1,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3]",-8.4841
243,3,3,"[3, 4, 5]",4,1008,0,8,"[9, 9, 7, 9, 5, 8, 7, 7, 6, 5, 8, 6, 9, 11, 10, 10, 11]",9.2771
244,1,0,0,0,0,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.5638
244,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,4368,1,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 4]",-7.7624
244,3,9,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",4,4504,0,8,"[8, 9, 7, 9, 5, 8, 8, 7, 6, 6, 8, 7, 10, 11, 11, 11, 11]",9.4943
245,1,0,0,0,0,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.5879
245,2,21,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38]",8,6704,0,2,"[1, 3, 1, 1, 1, 3, 3, 2, 1, 1, 1, 2, 5, 4, 3, 4, 4]",-4.1381
245,3,9,"[3, 4, 5, 9, 10, 11, 15, 16, 17]",4,5208,0,8,"[8, 9, 6, 9, 4, 7, 8, 8, 7, 7, 8, 7, 10, 11, 11, 11, 11]",9.6763
246,1,0,0,0,0,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.5324
246,2,0,0,0,0,0,3,"[2, 4, 2, 3, 2, 4, 5, 4, 2, 1, 2, 4, 5, 4, 3, 4, 5]",-1.364
246,3,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",4,4624,0,8,"[8, 9, 5, 9, 4, 6, 8, 8, 7, 8, 9, 7, 10, 11, 11, 11, 11]",9.5945
247,1,0,0,0,0,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.5242
247,2,6,"[0, 1, 2, 3, 4, 5]",8,1848,0,4,"[3, 5, 3, 3, 2, 5, 5, 5, 3, 1, 3, 5, 5, 4, 3, 4, 4]",-0.1553
247,3,0,0,0,0,0,8,"[8, 9, 5, 9, 4, 5, 8, 8, 7, 8, 9, 7, 10, 11, 11, 11, 11]",9.4306
248,1,6,"[3, 4, 5, 9, 10, 11]",1,5120,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.3961
248,2,0,0,0,0,0,4,"[3, 5, 4, 4, 1, 5, 6, 5, 3, 1, 3, 5, 5, 3, 3, 4, 4]",-0.129
248,3,21,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38]",4,13936,0,8,"[8, 8, 4, 9, 4, 4, 8, 8, 7, 8, 9, 7, 10, 11, 11, 11, 11]",9.2875
249,1,0,0,0,0,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.4056
249,2,0,0,0,0,0,3,"[4, 5, 4, 4, 1, 5, 6, 6, 2, 1, 2, 5, 4, 2, 2, 3, 2]",-1.0938
249,3,33,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",4,20256,0,8,"[7, 8, 4, 8, 5, 5, 8, 8, 7, 9, 9, 8, 11, 11, 11, 11, 11]",9.6671
250,1,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",1,17752,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.3429
250,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,12408,2,"[3, 4, 4, 3, 1, 4, 5, 5, 1, 1, 2, 4, 2, 1, 1, 1, 1]",-3.827
250,3,3,"[6, 7, 8]",4,1288,0,8,"[7, 8, 5, 8, 6, 5, 8, 8, 7, 9, 10, 8, 11, 11, 11, 11, 11]",9.9898
251,1,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",1,17136,4432,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.2263
251,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,9544,1,"[3, 3, 4, 3, 1, 4, 5, 4, 1, 1, 3, 2, 1, 1, 1, 1, 1]",-5.4499
251,3,3,"[0, 1, 2]",4,1648,0,9,"[7, 8, 6, 8, 7, 5, 8, 9, 7, 10, 10, 8, 11, 11, 11, 11, 11]",10.1963
252,1,6,"[3, 4, 5, 9, 10, 11]",1,4432,0,15,"[12, 11, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",25.0909
252,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,9944,2,"[2, 2, 4, 1, 1, 4, 4, 2, 1, 2, 4, 1, 2, 2, 3, 1, 4]",-3.5743
252,3,0,0,0,0,0,9,"[7, 7, 6, 8, 7, 4, 8, 9, 7, 10, 10, 8, 11, 11, 11, 11, 11]",10.2282
253,1,0,0,0,0,0,15,"[12, 10, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24.9368
253,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,2480,3,"[2, 2, 3, 1, 2, 4, 3, 1, 2, 3, 5, 2, 4, 4, 4, 4, 6]",-2.0764
253,3,15,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29]",4,8624,0,9,"[6, 7, 7, 8, 8, 4, 8, 9, 7, 10, 10, 8, 11, 11, 11, 11, 11]",10.2813
254,1,0,0,0,0,0,15,"[12, 10, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24.8451
254,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,7072,0,4,"[2, 3, 3, 1, 3, 4, 3, 1, 4, 4, 5, 4, 6, 5, 5, 6, 7]",-0.1138
254,3,12,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20]",4,7224,0,9,"[6, 7, 7, 8, 8, 5, 8, 9, 6, 10, 10, 8, 11, 11, 11, 11, 10]",10.4206
255,1,0,0,0,0,0,15,"[12, 10, 13, 15, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24.6573
255,2,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",8,9536,0,4,"[2, 3, 2, 1, 4, 4, 4, 3, 4, 5, 6, 5, 7, 6, 6, 6, 7]",1.3699
255,3,0,0,0,0,0,9,"[6, 6, 8, 8, 8, 5, 8, 9, 6, 10, 10, 8, 11, 11, 11, 11, 10]",10.4182
256,1,9,"[3, 4, 5, 9, 10, 11, 15, 16, 17]",1,7736,0,15,"[12, 10, 13, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24.4618
256,2,0,0,0,0,0,5,"[3, 4, 2, 2, 4, 5, 5, 4, 5, 5, 6, 6, 7, 6, 6, 7, 7]",2.4563
256,3,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",4,17208,0,9,"[6, 6, 8, 7, 9, 4, 7, 9, 6, 11, 10, 9, 11, 11, 11, 11, 10]",10.4343
257,1,6,"[0, 1, 2, 6, 7, 8]",1,4864,0,15,"[12, 10, 13, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24.2669
257,2,0,0,0,0,0,5,"[4, 5, 2, 3, 4, 4, 5, 5, 5, 5, 6, 6, 7, 6, 6, 7, 7]",2.7762
257,3,9,"[3, 4, 5, 9, 10, 11, 15, 16, 17]",4,5552,0,9,"[6, 6, 9, 7, 9, 5, 7, 9, 6, 11, 10, 9, 11, 11, 11, 10, 10]",10.5136
258,1,9,"[3, 4, 5, 12, 13, 14, 21, 22, 23]",1,6872,0,15,"[12, 10, 13, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24.0317
258,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,4296,0,5,"[4, 5, 2, 3, 3, 4, 6, 5, 5, 5, 5, 6, 7, 6, 5, 7, 7]",2.6334
258,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,11160,0,9,"[7, 5, 9, 7, 9, 6, 7, 9, 7, 11, 10, 9, 11, 11, 11, 10, 10]",10.6616
259,1,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",1,15120,9040,15,"[12, 10, 13, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",23.8645
259,2,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",8,6048,8800,4,"[4, 5, 2, 3, 3, 3, 5, 5, 4, 4, 4, 5, 6, 5, 4, 6, 6]",1.3174
259,3,9,"[3, 4, 5, 12, 13, 14, 21, 22, 23]",4,5104,0,9,"[7, 6, 9, 7, 10, 7, 6, 9, 7, 11, 10, 9, 11, 11, 11, 10, 9]",10.8651
260,1,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",1,26208,8432,15,"[12, 10, 13, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",23.6841
260,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,7000,3,"[4, 5, 2, 2, 1, 2, 4, 4, 2, 2, 1, 4, 5, 4, 2, 5, 4]",-1.1057
260,3,0,0,0,0,0,9,"[7, 6, 10, 6, 10, 8, 6, 9, 7, 11, 10, 9, 11, 11, 10, 10, 9]",10.849
261,1,9,"[3, 4, 5, 9, 10, 11, 15, 16, 17]",1,8432,0,15,"[12, 9, 13, 13, 15, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",23.3372
261,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,8064,2,"[4, 4, 2, 2, 1, 1, 3, 4, 1, 1, 1, 2, 3, 3, 1, 4, 2]",-4.2976
261,3,0,0,0,0,0,9,"[8, 6, 10, 6, 10, 8, 5, 9, 8, 11, 10, 9, 11, 11, 10, 10, 9]",10.9598
262,1,0,0,0,0,0,15,"[12, 9, 13, 13, 15, 13, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14]",22.9797
262,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,13496,2,"[3, 4, 2, 2, 1, 1, 2, 4, 2, 1, 2, 1, 1, 2, 2, 1, 3]",-4.6765
262,3,21,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41]",4,12928,0,9,"[8, 7, 10, 6, 10, 9, 5, 9, 8, 11, 10, 9, 11, 10, 10, 9, 8]",11.001
263,1,0,0,0,0,0,14,"[11, 9, 12, 13, 15, 13, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 14]",22.6185
263,2,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",8,13496,0,3,"[2, 3, 2, 3, 1, 1, 2, 5, 3, 3, 4, 2, 4, 4, 4, 1, 5]",-2.0348
263,3,0,0,0,0,0,9,"[9, 7, 10, 6, 10, 9, 5, 9, 8, 11, 10, 9, 11, 10, 10, 9, 8]",11.1785
264,1,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1,16448,0,14,"[11, 8, 12, 12, 15, 13, 15, 15, 15, 14, 15, 15, 15, 15, 15, 15, 14]",22.2765
264,2,0,0,0,0,0,4,"[1, 3, 2, 4, 2, 3, 4, 6, 4, 4, 5, 4, 5, 5, 5, 4, 6]",0.255
264,3,0,0,0,0,0,9,"[9, 8, 11, 6, 10, 9, 5, 8, 9, 11, 10, 9, 11, 10, 10, 9, 7]",11.2223
265,1,6,"[3, 4, 5, 9, 10, 11]",1,3336,0,14,"[11, 8, 12, 12, 15, 13, 14, 15, 15, 14, 15, 15, 15, 14, 15, 15, 14]",21.8378
265,2,24,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44]",8,7504,0,4,"[1, 2, 3, 4, 2, 3, 5, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6]",1.4482
265,3,0,0,0,0,0,9,"[9, 8, 11, 5, 10, 10, 6, 8, 9, 11, 10, 9, 11, 10, 9, 8, 7]",11.1585
266,1,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",1,26208,1896,14,"[11, 7, 12, 11, 15, 12, 14, 15, 15, 14, 15, 15, 15, 14, 15, 15, 13]",21.3178
266,2,6,"[3, 4, 5, 9, 10, 11]",8,1320,0,5,"[1, 1, 3, 5, 2, 3, 6, 7, 5, 5, 6, 6, 7, 6, 6, 6, 7]",1.7304
266,3,0,0,0,0,0,9,"[10, 8, 11, 5, 10, 10, 6, 8, 9, 11, 10, 9, 11, 10, 9, 8, 7]",11.1728
267,1,15,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41]",1,13744,0,14,"[11, 7, 11, 11, 15, 12, 14, 15, 15, 14, 15, 15, 15, 14, 15, 15, 13]",20.8565
267,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,4968,4,"[1, 1, 3, 5, 1, 3, 6, 7, 5, 5, 6, 6, 7, 6, 6, 6, 6]",1.3752
267,3,15,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38]",4,9864,0,9,"[10, 9, 11, 5, 10, 10, 6, 7, 9, 11, 10, 9, 11, 10, 9, 8, 7]",11.018
268,1,9,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",1,8520,0,13,"[10, 6, 11, 10, 15, 12, 13, 15, 15, 13, 15, 15, 15, 13, 15, 15, 13]",20.341
268,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,408,4,"[1, 1, 3, 5, 1, 2, 6, 7, 5, 4, 5, 6, 6, 6, 6, 6, 6]",0.111
268,3,0,0,0,0,0,9,"[10, 9, 11, 4, 10, 10, 6, 7, 9, 11, 10, 9, 11, 9, 8, 7, 7]",10.8722
269,1,15,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41]",1,13632,0,13,"[10, 5, 11, 9, 15, 11, 13, 15, 15, 13, 14, 15, 15, 13, 15, 15, 12]",19.6526
269,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,7040,3,"[1, 1, 3, 5, 1, 2, 6, 6, 4, 3, 4, 5, 5, 5, 5, 6, 5]",-1.2877
269,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,4360,9,"[10, 9, 11, 3, 10, 10, 6, 6, 9, 11, 10, 9, 11, 9, 8, 7, 7]",10.6592
270,1,9,"[6, 7, 8, 15, 16, 17, 24, 25, 26]",1,7568,0,13,"[10, 3, 10, 9, 15, 11, 13, 15, 15, 13, 14, 15, 15, 13, 15, 15, 12]",19.056
270,2,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",8,6048,992,2,"[1, 1, 3, 4, 2, 2, 5, 5, 2, 1, 1, 4, 3, 3, 3, 5, 3]",-3.0177
270,3,9,"[3, 4, 5, 12, 13, 14, 21, 22, 23]",4,5704,0,8,"[10, 10, 11, 1, 10, 10, 7, 6, 9, 11, 10, 9, 11, 9, 7, 6, 7]",10.0575
271,1,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",1,17064,0,13,"[10, 5, 10, 10, 15, 11, 13, 14, 15, 13, 14, 15, 15, 12, 15, 15, 12]",18.8981
271,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5064,0,1,"[1, 1, 2, 4, 3, 3, 4, 4, 1, 1, 1, 1, 1, 1, 1, 3, 3]",-6.5029
271,3,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",4,10080,14416,9,"[11, 10, 11, 3, 10, 10, 7, 7, 10, 11, 10, 9, 11, 8, 7, 6, 8]",10.4857
272,1,15,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41]",2,13208,0,12,"[9, 6, 9, 10, 15, 10, 13, 14, 14, 12, 13, 15, 15, 11, 15, 15, 11]",18.4711
272,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,6616,1,"[1, 1, 2, 3, 4, 4, 3, 2, 2, 1, 2, 1, 1, 1, 1, 1, 4]",-4.9163
272,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,13912,9,"[11, 10, 11, 4, 10, 10, 7, 7, 10, 11, 10, 9, 10, 8, 6, 5, 8]",10.5528
273,1,0,0,0,0,0,12,"[9, 6, 8, 10, 15, 10, 13, 14, 14, 12, 13, 15, 15, 10, 15, 15, 11]",18.0029
273,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,3456,3,"[1, 2, 2, 2, 4, 5, 1, 1, 3, 3, 4, 3, 4, 3, 4, 1, 5]",-2.4348
273,3,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",4,16128,5224,9,"[11, 10, 11, 4, 10, 10, 8, 7, 10, 11, 9, 9, 10, 7, 5, 5, 8]",10.3991
274,1,12,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35]",2,11944,0,12,"[9, 6, 8, 11, 15, 10, 13, 14, 14, 12, 13, 15, 15, 10, 15, 15, 10]",17.5585
274,2,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",8,6048,34952,3,"[1, 2, 1, 2, 4, 5, 1, 3, 4, 4, 5, 4, 5, 4, 5, 3, 6]",-0.7334
274,3,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",4,11424,896,9,"[11, 10, 11, 4, 9, 10, 8, 7, 10, 11, 9, 9, 10, 7, 5, 5, 9]",10.3657
275,1,6,"[0, 1, 2, 9, 10, 11]",2,4672,0,12,"[8, 6, 7, 11, 14, 9, 13, 14, 14, 11, 12, 15, 15, 10, 15, 15, 9]",17.3142
275,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,31968,4,"[1, 2, 1, 1, 4, 5, 3, 4, 4, 5, 6, 5, 6, 5, 6, 5, 7]",0.4996
275,3,3,"[6, 7, 8]",4,896,0,9,"[11, 10, 11, 4, 9, 10, 8, 8, 10, 11, 9, 9, 10, 7, 3, 5, 9]",10.2409
276,1,0,0,0,0,0,12,"[8, 6, 5, 12, 14, 9, 13, 14, 14, 11, 12, 15, 15, 11, 15, 14, 8]",17.0275
276,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,27912,4,"[1, 1, 1, 1, 4, 5, 4, 4, 4, 5, 6, 6, 6, 6, 6, 5, 7]",0.4648
276,3,15,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29]",4,8816,0,8,"[11, 10, 11, 5, 9, 10, 9, 8, 10, 11, 9, 9, 10, 6, 2, 6, 9]",9.9956
277,1,6,"[0, 1, 2, 9, 10, 11]",2,5392,0,12,"[7, 6, 3, 12, 14, 9, 13, 14, 14, 11, 11, 15, 15, 12, 15, 14, 8]",16.6032
277,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,22200,4,"[1, 1, 1, 1, 3, 4, 4, 4, 4, 4, 6, 6, 6, 5, 6, 5, 6]",-0.4159
277,3,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",4,10080,10408,8,"[11, 10, 11, 5, 9, 10, 9, 8, 9, 10, 8, 9, 9, 5, 2, 6, 10]",9.8075
278,1,6,"[3, 4, 5, 12, 13, 14]",2,5496,0,11,"[7, 6, 1, 13, 14, 9, 14, 13, 13, 11, 11, 14, 15, 12, 15, 14, 8]",16.173
278,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,17160,3,"[2, 1, 1, 1, 1, 3, 3, 4, 3, 4, 6, 5, 5, 5, 6, 5, 5]",-1.9583
278,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,6216,8,"[11, 10, 11, 6, 8, 10, 9, 7, 9, 10, 8, 8, 9, 4, 2, 6, 10]",9.5948
279,1,0,0,0,0,0,11,"[7, 6, 4, 13, 14, 9, 14, 13, 13, 11, 10, 14, 15, 12, 15, 14, 9]",16.4359
279,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,21176,2,"[2, 1, 1, 1, 1, 2, 2, 3, 2, 3, 5, 5, 5, 5, 5, 4, 4]",-2.9805
279,3,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",4,16128,952,8,"[11, 10, 11, 6, 8, 9, 9, 7, 9, 10, 7, 8, 9, 3, 2, 7, 10]",9.267
280,1,9,"[3, 4, 5, 12, 13, 14, 21, 22, 23]",2,8456,0,12,"[7, 6, 5, 13, 14, 9, 14, 13, 13, 11, 11, 14, 15, 13, 15, 14, 9]",16.6281
280,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,33288,3,"[3, 2, 1, 1, 1, 3, 2, 2, 2, 4, 5, 4, 4, 4, 5, 3, 3]",-2.0884
280,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,11376,0,8,"[12, 10, 11, 6, 7, 9, 10, 7, 9, 10, 7, 8, 8, 1, 3, 7, 10]",8.9454
281,1,12,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23]",2,11640,0,12,"[7, 7, 7, 14, 14, 10, 14, 13, 13, 11, 11, 14, 15, 13, 15, 14, 9]",16.9949
281,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,8736,24552,4,"[4, 4, 2, 2, 3, 4, 4, 4, 3, 5, 5, 4, 5, 5, 5, 2, 4]",-0.0367
281,3,0,0,0,0,0,8,"[12, 10, 11, 7, 7, 9, 10, 7, 9, 9, 6, 8, 8, 1, 3, 7, 10]",8.6013
282,1,6,"[0, 1, 2, 6, 7, 8]",2,5112,0,12,"[8, 7, 8, 14, 13, 10, 14, 13, 12, 11, 11, 14, 15, 13, 15, 13, 10]",17.341
282,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,22184,5,"[4, 5, 4, 4, 4, 6, 5, 6, 5, 6, 6, 5, 6, 5, 5, 3, 5]",2.4116
282,3,0,0,0,0,0,8,"[12, 10, 11, 7, 7, 8, 10, 7, 9, 9, 6, 8, 8, 1, 4, 7, 10]",8.6382
283,1,12,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23]",2,11520,0,12,"[8, 8, 8, 14, 13, 10, 14, 13, 12, 11, 11, 14, 15, 13, 15, 13, 10]",17.601
283,2,26,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44, 48, 49]",8,17472,26984,6,"[5, 5, 4, 5, 5, 6, 6, 7, 6, 6, 6, 6, 7, 6, 6, 4, 6]",3.8884
283,3,0,0,0,0,0,8,"[11, 10, 10, 7, 6, 8, 10, 7, 9, 9, 5, 8, 7, 3, 5, 8, 11]",8.6001
284,1,12,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32]",2,11064,0,12,"[9, 8, 9, 14, 13, 10, 15, 13, 12, 11, 11, 14, 15, 14, 15, 13, 10]",17.7445
284,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,10080,39656,6,"[5, 5, 5, 5, 5, 7, 7, 7, 6, 6, 7, 7, 7, 7, 6, 5, 6]",5.0445
